LOCALITY,FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
Arlington County,27-Oct-2025 05:00:01,9784,0,0,1338,6726,19454,1582,0,8308,27762,532,2116,0,218,428,0,275,1549,0,17213,9476,1073
Arlington County,28-Oct-2025 05:00:02,9525,0,24,1361,6559,20113,1980,0,8539,28676,544,2118,0,241,469,0,264,1510,0,17670,9865,1141
Arlington County,29-Oct-2025 05:00:02,8626,0,32,1398,3870,21858,5447,0,9317,31207,566,2123,0,266,487,0,261,1490,0,19040,10874,1293
Arlington County,30-Oct-2025 05:00:02,8415,0,50,1434,3978,23623,5521,0,9499,33172,585,2127,0,288,512,0,258,1465,0,20111,11635,1426
Arlington County,31-Oct-2025 05:00:02,8240,0,74,1476,2633,25572,7006,0,9639,35285,602,2133,0,306,536,0,256,1442,0,21285,12469,1531
Arlington County,01-Nov-2025 05:00:02,8011,0,94,1500,2834,27149,7006,0,9840,37083,616,2139,0,326,572,0,249,1411,0,22072,13340,1671
Arlington County,02-Nov-2025 05:00:01,7940,0,94,1586,1730,32224,8110,0,9840,42158,691,2148,0,401,581,0,248,1406,0,24517,15684,1957
Arlington County,03-Nov-2025 05:00:02,7940,0,160,1586,1730,32224,8110,0,9840,42224,691,2149,0,401,582,0,248,1406,0,24521,15704,1999
Arlington County,04-Nov-2025 05:00:01,6791,0,186,1586,2865,32224,8112,0,10977,43387,691,2149,0,406,583,0,243,1405,0,24986,16282,2119
Arlington County,05-Nov-2025 05:00:02,6250,0,186,1586,3402,32224,8110,0,11512,43922,691,2149,0,420,628,0,229,1359,0,25173,16585,2164
Arlington County,06-Nov-2025 05:00:02,5593,0,186,1587,4062,32224,8112,0,12174,44584,691,2149,0,423,634,0,226,1353,0,25410,16956,2218
Arlington County,07-Nov-2025 05:00:02,4799,0,186,1587,4848,32224,8111,1,12959,45370,691,2149,0,437,698,0,212,1289,0,25694,17383,2293
Arlington County,08-Nov-2025 05:00:01,4702,0,186,1588,4856,32224,8111,0,12967,45377,691,2148,0,437,699,0,204,1265,0,25699,17385,2293
Arlington County,09-Nov-2025 05:00:02,4702,0,186,1588,4856,32224,8111,0,12967,45377,691,2148,0,437,699,0,204,1265,0,25699,17385,2293
Arlington County,10-Nov-2025 05:00:02,4702,0,186,1588,4856,32224,8111,0,12967,45377,691,2148,0,437,699,0,204,1265,0,25699,17385,2293
Fairfax City,17-Sep-2025 22:01:55,1543,0,0,108,0,0,0,0,0,0,25,104,0,0,0,0,23,100,0,0,0,0
Fairfax City,18-Sep-2025 05:00:02,1543,0,0,108,0,0,0,0,0,0,25,104,0,0,0,0,23,100,0,0,0,0
Fairfax City,19-Sep-2025 05:00:02,1548,0,0,104,0,0,0,0,0,0,25,104,0,0,0,0,23,100,0,0,0,0
Fairfax City,20-Sep-2025 05:00:01,1540,0,0,109,18,137,0,0,18,155,26,105,0,1,0,0,23,101,0,131,23,1
Fairfax City,21-Sep-2025 05:00:03,1540,0,0,109,18,137,0,0,18,155,26,105,0,1,0,0,23,101,0,131,23,1
Fairfax City,22-Sep-2025 05:00:02,1540,0,0,109,18,137,0,0,18,155,26,105,0,1,0,0,23,101,0,131,23,1
Fairfax City,23-Sep-2025 05:00:01,1394,0,0,113,165,246,0,0,165,411,26,105,0,2,0,0,22,101,0,343,64,4
Fairfax City,24-Sep-2025 05:00:01,1374,0,0,115,196,355,0,0,196,551,27,105,0,3,0,0,22,101,0,450,94,7
Fairfax City,25-Sep-2025 05:00:02,1303,0,0,115,265,411,0,0,265,676,27,105,0,3,0,0,22,101,0,540,128,8
Fairfax City,26-Sep-2025 05:00:02,1237,0,0,120,326,485,0,0,326,811,27,105,0,3,0,0,21,101,0,654,148,9
Fairfax City,29-Sep-2025 17:00:02,1202,0,0,121,349,570,0,0,349,919,28,106,0,4,2,0,17,100,0,743,166,10
Fairfax City,29-Sep-2025 17:35:10,1190,0,0,121,360,570,0,0,360,930,28,106,0,4,2,0,17,100,0,751,169,10
Fairfax City,30-Sep-2025 05:00:02,1121,0,0,125,426,650,0,0,426,1076,28,106,0,4,2,0,17,100,0,855,207,14
